Salary,Year,Player,Position
8641000,2019,Kyle Anderson, SF
8641000,2019,Julius Randle, PF
8575916,2019,Jerryd Bayless, G
8339880,2019,Markelle Fultz, PG
8333333,2019,C.J. Miles, SG
8333333,2019,Joe Harris, SF
8307692,2019,Shaun Livingston, G
8165160,2019,Deandre Ayton, C
8000000,2019,Garrett Temple, SG
8000000,2019,Lou Williams, SG
7969537,2019,P.J. Tucker, PF
7945000,2019,Cory Joseph, PG
7839435,2019,Karl-Anthony Towns, C
7666667,2019,JaMychal Green, PF
7560000,2019,Kyle Korver, SG
7488372,2019,Jeremy Lamb, SG
7464912,2019,Darrell Arthur, F
7461960,2019,Lonzo Ball, PG
7333333,2019,Doug McDermott, SF
7305825,2019,Jae Crowder, SF
7305600,2019,Marvin Bagley III, PF
7250000,2019,D.J. Augustin, PG
7200000,2019,Dewayne Dedmon, C
7119650,2019,Lance Thomas, SF
7019698,2019,D'Angelo Russell, SG
7000000,2019,Davis Bertans, SF
7000000,2019,Ersan Ilyasova, PF
7000000,2019,Langston Galloway, SG
7000000,2019,Boban Marjanovic, C
6957105,2019,Al-Farouq Aminu, PF
6700800,2019,Jayson Tatum, PF
6560640,2019,Luka Doncic, SG
6500000,2019,Nemanja Bjelica, PF
6500000,2019,Mario Hezonja, SF
6434520,2019,Ben Simmons, PG
6300000,2019,Milos Teodosic, G
6153846,2019,Marco Belinelli, SG
6134520,2019,Wesley Johnson, F
6041520,2019,Josh Jackson, SG
6000000,2019,Jonathon Simmons, G
6000000,2019,Ish Smith, PG
6000000,2019,Montrezl Harrell, PF
5915040,2019,Jaren Jackson Jr., PF
5757120,2019,Brandon Ingram, SF
5697054,2019,Kristaps Porzingis, PF
5470920,2019,De'Aaron Fox, PG
5460000,2019,Ben McLemore, SF
5455236,2019,Alex Abrines, G
5451600,2019,Patrick Patterson, PF
5450000,2019,Jason Smith, F
5375000,2019,Marcus Morris Sr., SF
5356440,2019,Trae Young, PG
5337000,2019,DeMarcus Cousins, C
5337000,2019,Dwight Howard, C
5285394,2019,Alexis Ajinca, C
5250000,2019,Thabo Sefolosha, SF
5193600,2019,Aron Baynes, C
5169960,2019,Jaylen Brown, SG
5027028,2019,Patrick Beverley, PG
5000000,2019,Tony Parker, G
5000000,2019,Mike Muscala, PF
5000000,2019,Alan Williams, C
5000000,2019,Dirk Nowitzki, F
4996000,2019,Kyle Singler, F
4969080,2019,Jonathan Isaac, PF
4865040,2019,Mo Bamba, C
4750000,2019,Anthony Tolliver, PF
4696875,2019,Willie Cauley-Stein, C
4661280,2019,Dragan Bender, F
4536120,2019,Lauri Markkanen, PF
4449000,2019,Ed Davis, C
4449000,2019,Kyle O'Quinn, C
4449000,2019,Lance Stephenson, G
4441200,2019,Wendell Carter Jr., C
4384616,2019,Justin Holiday, SF
4350000,2019,Alex Len, C
4320500,2019,Mike Scott, PF
4320500,2019,Luc Mbah a Moute, PF
4294480,2019,Emmanuel Mudiay, PG
4221000,2019,Kris Dunn, PG
4155720,2019,Frank Ntilikina, PG
4075000,2019,Glenn Robinson III, SF
4068600,2019,Collin Sexton, PG
3940402,2019,Stanley Johnson, SF
3844760,2019,Buddy Hield, SG
3819960,2019,Dennis Smith Jr., PG
3739920,2019,Kevin Knox II, SF
3710850,2019,J.J. Barea, PG
3651480,2019,Nene Hilario, C
