POSITION,PLAYER_NAME
 PF,Carlos Boozer
 PF,Pau Gasol
 SF,Andrei Kirilenko
 PF,Kenyon Martin
 PF,Rasheed Wallace
 F,Zach Randolph
 C,Raef LaFrentz
 SG,Wally Szczerbiak
 C,Shaquille O'Neal
 C,Dikembe Mutombo
 SG,Allan Houston
 C,Chris Webber
 PG,Damon Stoudamire
 PF,Antoine Walker
 PF,Shareef Abdur-Rahim
 SG,Allen Iverson
 SG,Latrell Sprewell
 PF,Vin Baker
 C,Zydrunas Ilgauskas
 SF,Anfernee Hardaway
 SG,Ray Allen
 SF,Kobe Bryant
 PG,Stephon Marbury
 SG,Michael Finley
 SG,Tracy McGrady
 SG,Jalen Rose
 PF,Keith Van Horn
 SF,Grant Hill
 SG,Eddie Jones
 PF,Brian Grant
 G,Vince Carter
 PF,Tim Thomas
 PF,Antonio Davis
 SF,Glenn Robinson
 PG,Nick Van Exel
 C,Theo Ratliff
 SG,Kerry Kittles
 SF,Jamal Mashburn
 PF,Maurice Taylor
 SG,Derek Anderson
 PF,Alan Henderson
 PF,Austin Croshere
 C,Erick Dampier
 C,Kelvin Cato
 C,Marcus Camby
 SF,Shandon Anderson
 PF,Lorenzen Wright
 SF,Jerry Stackhouse
 PF,Kevin Garnett
 C,Shaquille O'Neal
 PF,Rasheed Wallace
 C,Dikembe Mutombo
 SG,Allan Houston
 C,Chris Webber
 PG,Damon Stoudamire
 PF,Antoine Walker
 PF,Antonio McDyess
 PF,Shareef Abdur-Rahim
 SG,Allen Iverson
 SG,Latrell Sprewell
 PF,Vin Baker
 C,Zydrunas Ilgauskas
 SF,Anfernee Hardaway
 SG,Ray Allen
 SF,Kobe Bryant
 PG,Stephon Marbury
 SG,Michael Finley
 PF,Keith Van Horn
 SG,Tracy McGrady
 C,Tim Duncan
 SG,Jalen Rose
 SG,Eddie Jones
 PF,Brian Grant
 C,Vlade Divac
 PF,Antonio Davis
 G,Vince Carter
 PF,Tim Thomas
 PF,Tom Gugliotta
 PG,Jason Kidd
 PG,Nick Van Exel
 SF,Glenn Robinson
 C,Theo Ratliff
 SF,Glen Rice
 SG,Kerry Kittles
 C,Greg Ostertag
 SF,Jamal Mashburn
 SF,Toni Kukoc
